distance,event_type,orientation,length,width,depth,joint_number,comments,year,distance_raw,distance_aligned
5849.846,metal loss,223.5,7.5,7.8,19.0,1700,,2022,5849.846,5833.348894191336
5849.993,metal loss,139.5,2.2,2.0,40.0,1700,,2022,5849.993,5833.495225561108
6493.963,metal loss,343.0,2.8,2.2,14.0,1870,,2022,6493.963,6475.539290625859
6495.085,metal loss,347.5,2.4,3.4,13.0,1870,,2022,6495.085,6476.6617675593225
6495.495,metal loss,349.0,5.4,3.4,10.0,1870,,2022,6495.495,6477.071941839821
6549.984,metal loss,192.5,5.9,2.3,13.0,1890,,2022,6549.984,6531.336008049397
6550.663,metal loss,192.5,8.5,2.9,13.0,1890,,2022,6550.663,6532.0151268654845
6552.031,metal loss,187.0,2.9,1.5,16.0,1890,,2022,6552.031,6533.383366247531
6567.825,metal loss,366.5,6.3,2.0,26.0,1890,,2022,6567.825,6549.180129990251
6567.838,metal loss,178.0,5.5,1.9,24.0,1890,,2022,6567.838,6549.19313226508
6568.862,metal loss,366.5,2.9,1.4,17.0,1890,,2022,6568.862,6550.217311451642
6569.862,metal loss,366.5,4.4,1.5,13.0,1890,,2022,6569.862,6551.217486438517
6571.201,metal loss,369.0,4.5,2.6,13.0,1890,,2022,6571.201,6552.556720745944
6573.474,metal loss,366.0,5.9,1.5,14.0,1890,,2022,6573.474,6554.830118491113
6576.099,metal loss,181.5,4.5,1.4,12.0,1890,,2022,6576.099,6557.455577831663
6577.841,metal loss,366.5,4.2,1.3,16.0,1890,,2022,6577.841,6559.197882658801
6588.264,metal loss,177.5,5.5,1.5,10.0,1890,,2022,6588.264,6569.622706547009
6689.99,metal loss,301.0,5.5,2.8,10.0,1920,,2022,6689.99,6670.94068744408
6692.503,metal loss,307.0,5.6,2.8,12.0,1920,,2022,6692.503,6673.438323143453
6700.144,metal loss,304.0,2.0,1.5,20.0,1920,,2022,6700.144,6681.032606620936
6806.657,metal loss,93.0,1.3,1.7,16.0,1950,,2022,6806.657,6787.274649910795
6807.497,metal loss,93.5,5.3,2.3,12.0,1950,,2022,6807.497,6788.11546495978
6901.368,metal loss,263.0,22.4,3.8,10.0,1980,,2022,6901.368,6881.789772405397
6904.587,metal loss,266.0,2.4,3.1,13.0,1980,,2022,6904.587,6884.988217258429
6906.519,metal loss,258.0,5.7,2.4,12.0,1980,,2022,6906.519,6886.9078803389075
6920.423,metal loss,263.0,7.9,1.7,11.0,1980,,2022,6920.423,6900.723095385992
6947.31,metal loss manufacturing anomaly,365.0,0.2,1.1,28.0,1990,,2022,6947.31,6927.543797095665
6948.586,metal loss manufacturing anomaly,282.0,0.6,0.9,24.0,1990,,2022,6948.586,6928.817313738211
7002.218,metal loss,172.5,1.9,1.6,22.0,2000,,2022,7002.218,6982.213383580416
7002.867,metal loss,206.0,3.9,3.4,12.0,2000,,2022,7002.867,6982.858906939081
7002.976,metal loss,157.0,3.3,1.8,24.0,2000,,2022,7002.976,6982.967323034757
7004.675,metal loss,175.0,1.6,1.5,21.0,2010,,2022,7004.675,6984.661457585893
7574.219,metal loss,270.0,16.9,2.1,12.0,2150,,2022,7574.219,7552.982184086193
7637.661,metal loss,214.5,1.6,1.4,18.0,2160,,2022,7637.661,7616.280738921146
7637.92,metal loss,126.5,3.5,1.1,16.0,2160,,2022,7637.92,7616.53844077217
7638.025,metal loss,217.5,2.6,2.0,19.0,2160,,2022,7638.025,7616.642914495558
7638.432,metal loss,120.0,12.9,6.0,25.0,2160,,2022,7638.432,7617.047874547169
7639.587,metal loss,189.5,11.6,4.8,25.0,2170,,2022,7639.587,7618.200844181755
7652.343,metal loss,252.5,5.9,1.9,30.0,2170,,2022,7652.343,7630.954299216919
7653.655,metal loss,254.0,1.8,1.8,23.0,2170,,2022,7653.655,7632.266037458227
7658.763,metal loss,211.5,2.0,1.5,21.0,2170,,2022,7658.763,7637.373018355031
7659.537,metal loss,218.0,1.3,1.0,25.0,2170,,2022,7659.537,7638.146863933363
7660.026,metal loss,211.5,3.0,2.0,26.0,2170,,2022,7660.026,7638.6357663723875
7661.24,metal loss,224.5,1.9,2.1,28.0,2170,,2022,7661.24,7639.849524165794
7661.785,metal loss,222.0,1.4,1.6,24.0,2170,,2022,7661.785,7640.394415432191
7662.339,metal loss,228.5,1.7,1.7,24.0,2170,,2022,7662.339,7640.948304902988
7662.677,metal loss,287.5,9.1,3.6,33.0,2170,,2022,7662.677,7641.286237468203
7662.72,metal loss,242.50000000000003,2.6,1.7,28.0,2170,,2022,7662.72,7641.329228889222
7663.11,metal loss,246.0,5.2,2.6,47.0,2170,,2022,7663.11,7641.719151079854
7663.678,metal loss,284.0,6.5,1.7,41.0,2170,,2022,7663.678,7642.287037757494
7664.131,metal loss,253.5,0.7,1.1,50.0,2170,,2022,7664.131,7642.739947378922
7664.616,metal loss,274.5,6.3,1.8,28.0,2170,,2022,7664.616,7643.224850615991
7664.764,metal loss,253.5,0.8,1.3,55.0,2170,,2022,7664.764,7643.372821088334
7665.007,metal loss,253.5,1.0,1.3,47.0,2170,,2022,7665.007,7643.615772607112
7665.131,metal loss,301.0,10.6,3.5,37.0,2170,,2022,7665.131,7643.739747867724
7665.538,metal loss,256.0,1.3,1.3,42.0,2170,,2022,7665.538,7644.1466666666665
7665.686,metal loss,285.0,2.8,2.5,27.0,2170,,2022,7665.686,7644.294637139009
7666.083,metal loss,257.5,1.1,1.9,41.0,2170,,2022,7666.083,7644.691557933063
7666.503,metal loss,304.5,2.3,1.9,27.0,2170,,2022,7666.503,7645.111474138361
7666.617,metal loss,254.0,0.9,1.5,39.0,2170,,2022,7666.617,7645.225451394084
7667.087,metal loss,256.0,1.1,1.4,44.0,2170,,2022,7667.087,7645.695357623822
7667.927,metal loss,254.0,1.3,1.7,57.0,2170,,2022,7667.927,7646.535190034415
7668.55,metal loss,253.5,7.1,1.7,37.0,2170,,2022,7668.55,7647.1580657389395
7669.314,metal loss,253.0,6.0,2.5,36.0,2170,,2022,7669.314,7647.921913312385
7669.97,metal loss,228.5,1.7,1.5,24.0,2170,,2022,7669.97,7648.577782433039
7675.869,metal loss,199.5,7.3,1.6,31.0,2170,,2022,7675.869,7654.475605516484
7677.7,metal loss,202.0,3.9,1.8,20.0,2170,,2022,7677.7,7656.306240211481
7808.832,metal loss,177.0,3.5,3.7,12.0,2210,,2022,7808.832,7786.83142095098
7808.986,metal loss,118.5,5.5,3.7,19.0,2210,,2022,7808.986,7786.985803366136
7809.085,metal loss,206.0,3.2,1.6,16.0,2210,,2022,7809.085,7787.085049204451
7853.806,metal loss,121.0,1.3,1.8,15.0,2230,,2022,7853.806,7831.850049213332
7854.649,metal loss,120.5,0.7,1.7,25.0,2230,,2022,7854.649,7832.690052941615
7873.107,metal loss,117.5,7.9,2.0,18.0,2230,,2022,7873.107,7851.082447741903
7875.633,metal loss,113.5,7.3,2.0,10.0,2230,,2022,7875.633,7853.59946958964
7876.493,metal loss,116.0,25.6,2.3,16.0,2230,,2022,7876.493,7854.456412894888
7881.348,metal loss,115.5,8.5,2.6,13.0,2230,,2022,7881.348,7859.294156786717
8240.089,dent,165.0,,,,2320,,2022,8240.089,8217.097287703422
8678.304,metal loss,172.0,1.8,2.3,16.0,2430,,2022,8678.304,8654.439885759697
8678.363,metal loss,210.5,1.7,2.1,23.0,2430,,2022,8678.363,8654.498583916951
8678.369,metal loss,144.5,2.3,1.9,16.0,2430,,2022,8678.369,8654.50455322108
8679.98,metal loss,123.5,2.5,2.0,17.0,2440,,2022,8679.98,8656.112563506815
8680.069,metal loss,197.0,4.5,6.7,26.0,2440,,2022,8680.069,8656.201756505576
8757.215,metal loss,156.5,4.8,3.7,18.0,2450,,2022,8757.215,8733.202866552332
8757.274,metal loss,211.5,4.2,2.6,22.0,2450,,2022,8757.274,8733.261524867645
8922.91,metal loss manufacturing anomaly,217.5,0.7,1.4,26.0,2500,,2022,8922.91,8898.578978897038
9213.507,metal loss,238.0,5.2,1.7,12.0,2570,,2022,9213.507,9188.74310317401
9216.224,metal loss,231.0,5.1,2.0,12.0,2570,,2022,9216.224,9191.447069569756
9218.081,metal loss,232.5,7.2,1.7,13.0,2570,,2022,9218.081,9193.295161434644
9476.296,metal loss,43.5,9.4,4.5,20.0,2640,,2022,9476.296,9450.571258732567
9476.594,metal loss,70.0,5.2,1.1,16.0,2640,,2022,9476.594,9450.872348159013
9477.362,metal loss,71.0,1.5,1.3,18.0,2640,,2022,9477.362,9451.648310170796
9477.464,metal loss,38.0,6.6,2.4,23.0,2640,,2022,9477.464,9451.751367625488
9477.999,metal loss,271.5,3.6,3.3,19.0,2640,,2022,9477.999,9452.291914079009
9478.054,metal loss,70.0,4.1,1.1,14.0,2640,,2022,9478.054,9452.347484275166
9478.524,metal loss,36.5,4.9,2.1,19.0,2640,,2022,9478.524,9452.822356860503
9478.54,metal loss,229.0,6.1,3.1,19.0,2640,,2022,9478.54,9452.838522735748
9478.678,metal loss,70.0,4.1,2.2,20.0,2640,,2022,9478.678,9452.97795340974
9479.573,metal loss,233.0,5.7,3.0,21.0,2640,,2022,9479.573,9453.882232056287
9480.256,metal loss,229.0,4.9,4.1,26.0,2640,,2022,9480.256,9454.572312855827
9480.938,metal loss,227.0,1.3,1.4,21.0,2640,,2022,9480.938,9455.261383288169
9481.309,metal loss,232.5,2.3,1.4,23.0,2640,,2022,9481.309,9455.636229520424
9481.788,metal loss,225.0,1.7,1.3,18.0,2640,,2022,9481.788,9456.120195410587
9482.26,metal loss,232.0,4.8,1.8,25.0,2640,,2022,9482.26,9456.597088730328
9483.166,metal loss,237.5,4.5,2.2,25.0,2640,,2022,9483.166,9457.512481416104
9483.842,metal loss,233.5,2.8,2.0,29.0,2640,,2022,9483.842,9458.195489645228
9484.452,metal loss,232.5,1.4,1.6,28.0,2640,,2022,9484.452,9458.811813638962
9485.167,metal loss,227.5,2.2,1.9,29.0,2640,,2022,9485.167,9459.534226188996
9485.561,metal loss,144.0,1.4,1.6,50.0,2640,,2022,9485.561,9459.932310866916
9485.715,metal loss,166.0,2.2,3.1,36.0,2640,,2022,9485.715,9460.087907416155
10147.329,metal loss,186.5,3.5,5.0,22.0,2830,,2022,10147.329,10119.867670322612
10147.457,metal loss,147.5,3.9,5.0,24.0,2830,,2022,10147.457,10119.995379427894
10153.517,metal loss,358.5,4.3,1.7,14.0,2840,,2022,10153.517,10126.062307463795
10160.41,metal loss,351.0,14.6,3.0,13.0,2840,,2022,10160.41,10132.968105458598
10177.556,metal loss,355.5,0.6,1.3,17.0,2850,,2022,10177.556,10150.126730927708
10178.054,metal loss,340.0,0.6,1.0,16.0,2850,,2022,10178.054,10150.625041827945
10181.115,metal loss,372.5,6.0,1.3,13.0,2850,,2022,10181.115,10153.687952803097
10182.52,metal loss,372.0,3.7,0.9,17.0,2850,,2022,10182.52,10155.093829941317
10241.49,metal loss,129.0,1.6,2.0,23.0,2860,,2022,10241.49,10213.774730914569
10241.611,metal loss,162.5,3.4,2.1,17.0,2860,,2022,10241.611,10213.894807478575
10242.083,metal loss,164.5,2.3,3.4,18.0,2860,,2022,10242.083,10214.363205315025
10242.487,metal loss,159.0,5.2,1.7,14.0,2860,,2022,10242.487,10214.764122107239
10426.083,metal loss,237.5,5.2,1.8,15.0,2920,,2022,10426.083,10398.026102752841
10427.72,metal loss,236.0,2.9,1.2,16.0,2920,,2022,10427.72,10399.656467311564
10428.881,metal loss,231.0,7.1,2.2,11.0,2920,,2022,10428.881,10400.812761296096
10444.728,metal loss,242.0,5.0,1.7,13.0,2920,,2022,10444.728,10416.595526819683
10460.843,metal loss,238.0,10.1,3.5,11.0,2920,,2022,10460.843,10432.6452060279
10462.457,metal loss,248.5,3.3,1.3,14.0,2920,,2022,10462.457,10434.252663815183
10463.153,metal loss,206.5,3.7,2.9,13.0,2920,,2022,10463.153,10434.945842637952
10463.402,metal loss,144.0,5.3,3.7,12.0,2920,,2022,10463.402,10435.193833337476
10543.307,metal loss,131.5,6.4,3.8,18.0,2940,,2022,10543.307,10514.96953401724
10545.079,metal loss,187.0,2.6,1.6,15.0,2950,,2022,10545.079,10516.737463961827
10622.356,metal loss,191.0,1.5,1.1,24.0,2960,,2022,10622.356,10593.901508032774
10623.796,metal loss,199.5,5.0,4.4,23.0,2960,,2022,10623.796,10595.334129267025
10623.963,metal loss,119.5,2.2,2.9,27.0,2960,,2022,10623.963,10595.500273535163
10668.829,metal loss,347.0,9.0,3.2,11.0,2980,,2022,10668.829,10640.467101028162
10784.616,metal loss,157.0,1.7,1.7,25.0,3010,,2022,10784.616,10755.965908260605
10784.829,metal loss,115.5,4.1,2.3,15.0,3010,,2022,10784.829,10756.179902577633
10813.586,metal loss,124.0,13.0,3.6,10.0,3020,,2022,10813.586,10784.992759932793
10818.54,metal loss,135.5,4.6,1.5,10.0,3020,,2022,10818.54,10789.930602391778
10858.196,metal loss,260.5,3.3,1.5,12.0,3030,,2022,10858.196,10829.496348885394
10859.426,metal loss,264.5,5.3,1.2,12.0,3030,,2022,10859.426,10830.725765495892
11324.531,metal loss,175.5,5.6,3.8,14.0,3140,,2022,11324.531,11295.102190144351
11337.087,metal loss,337.0,14.1,5.2,11.0,3150,,2022,11337.087,11307.668632331259
11486.476,metal loss,241.50000000000003,10.1,2.7,13.0,3190,,2022,11486.476,11456.808004691908
11500.39,metal loss,234.0,2.4,1.8,18.0,3190,,2022,11500.39,11470.74665951234
11505.65,metal loss,242.50000000000003,6.1,1.9,11.0,3190,,2022,11505.65,11476.015979934613
11512.9,metal loss,260.0,2.5,0.7,13.0,3190,,2022,11512.9,11483.278826524245
11514.633,metal loss,263.5,3.6,1.9,13.0,3190,,2022,11514.633,11485.014897302153
11726.316,metal loss,110.0,12.5,2.4,12.0,3250,,2022,11726.316,11696.227238223822
11728.104,metal loss,108.0,20.1,2.0,11.0,3250,,2022,11728.104,11698.016311131112
11743.806,metal loss,100.0,9.8,3.4,13.0,3250,,2022,11743.806,11713.727733273328
11780.043,metal loss,183.0,4.1,4.4,12.0,3260,,2022,11780.043,11749.910227176695
11945.869,metal loss,69.0,10.4,3.0,13.0,3300,,2022,11945.869,11915.141433401284
12141.325,metal loss,196.5,4.8,1.6,11.0,3350,,2022,12141.325,12110.217650738055
12142.313,metal loss,198.5,2.8,3.6,11.0,3350,,2022,12142.313,12111.206886664999
12146.407,metal loss,204.0,5.1,1.6,10.0,3350,,2022,12146.407,12115.306008006004
12162.674,metal loss,206.5,5.5,3.4,16.0,3350,,2022,12162.674,12131.593357017766
12264.18,metal loss,201.0,2.2,1.7,15.0,3380,,2022,12264.18,12232.661722632805
12286.867,metal loss,61.0,10.5,3.4,12.0,3380,,2022,12286.867,12255.190056544814
12412.49,metal loss,132.5,17.0,2.3,12.0,3420,,2022,12412.49,12380.210320828633
12416.394,metal loss,128.0,9.7,3.7,12.0,3420,,2022,12416.394,12384.093001424586
12417.644,metal loss,127.5,10.2,4.2,13.0,3420,,2022,12417.644,12385.336175283433
12421.26,metal loss,128.5,8.9,2.8,13.0,3420,,2022,12421.26,12388.932428622307
12426.778,metal loss,118.0,9.5,4.5,13.0,3420,,2022,12426.778,12394.420295304802
12429.075,metal loss,129.0,12.4,5.9,16.0,3420,,2022,12429.075,12396.70475158782
12431.686,metal loss,124.5,10.1,6.5,12.0,3420,,2022,12431.686,12399.30149314418
12434.4,metal loss,135.0,5.4,3.2,13.0,3420,,2022,12434.4,12402.000672226508
12447.864,metal loss,209.5,12.8,2.4,12.0,3430,,2022,12447.864,12415.40464715577
12450.03,metal loss,208.5,9.3,2.2,12.0,3430,,2022,12450.03,12417.563832093094
12451.22,metal loss,211.5,4.3,3.1,10.0,3430,,2022,12451.22,12418.750087898916
12455.308,metal loss,215.0,17.2,6.7,17.0,3430,,2022,12455.308,12422.825225490686
12456.883,metal loss,206.5,1.4,0.3,13.0,3430,,2022,12456.883,12424.395269939569
12457.589,metal loss,214.0,15.0,7.6,15.0,3430,,2022,12457.589,12425.099048594117
12459.094,metal loss,207.0,3.0,3.5,16.0,3430,,2022,12459.094,12426.599313289717
12459.915,metal loss,211.5,3.5,1.9,17.0,3430,,2022,12459.915,12427.417730110374
12462.995,metal loss,221.5,9.6,3.4,13.0,3430,,2022,12462.995,12430.488039254858
12468.635,metal loss,216.0,23.5,5.8,13.0,3430,,2022,12468.635,12436.110293662288
12473.72,metal loss,214.5,11.6,3.5,11.0,3430,,2022,12473.72,12441.179294311542
12511.335,metal loss,272.5,29.2,3.5,13.0,3440,,2022,12511.335,12478.67678538471
12515.492,metal loss,271.5,4.8,2.5,16.0,3440,,2022,12515.492,12482.820825539344
12518.428,metal loss,275.0,7.3,2.4,12.0,3440,,2022,12518.428,12485.747672278338
12973.179,metal loss,141.5,20.1,3.1,17.0,3570,,2022,12973.179,12939.535343690679
13035.0,metal loss,246.0,2.7,1.8,12.0,3590,,2022,13035.0,13001.160627903075
13054.738,metal loss,244.5,11.5,2.0,10.0,3590,,2022,13054.738,13020.905255470369
13189.665,metal loss,192.0,12.8,19.6,22.0,3630,,2022,13189.665,13155.379097537832
13190.236,metal loss,106.5,5.3,3.0,21.0,3630,,2022,13190.236,13155.950297158268
13681.542,metal loss,110.0,4.1,7.5,18.0,3750,,2022,13681.542,13645.432554790726
13681.667,metal loss,206.5,1.4,2.7,17.0,3750,,2022,13681.667,13645.556081177307
13681.903,metal loss,144.5,1.7,1.6,21.0,3750,,2022,13681.903,13645.789298995172
13889.177,metal loss,386.5,0.4,0.2,26.0,3810,,2022,13889.177,13852.657304745797
13889.741,metal loss,285.5,1.3,0.5,17.0,3810,,2022,13889.741,13853.220126355587
13890.43,metal loss,385.0,1.3,1.4,35.0,3810,,2022,13890.43,13853.907686797334
13890.522,metal loss,227.0,0.6,0.5,13.0,3810,,2022,13890.522,13853.999494577654
13890.551,metal loss,296.5,0.7,1.3,21.0,3810,,2022,13890.551,13854.028433986668
14038.661,metal loss,182.0,1.7,1.3,16.0,3850,,2022,14038.661,14002.036116384237
14039.242,metal loss,164.5,7.1,5.3,16.0,3850,,2022,14039.242,14002.614719972173
14107.572,metal loss,261.5,3.3,2.2,12.0,3890,,2022,14107.572,14070.801158161239
14109.626,metal loss,263.0,1.8,3.4,13.0,3890,,2022,14109.626,14072.847102859412
14113.661,metal loss,266.5,3.9,2.0,14.0,3890,,2022,14113.661,14076.86627854448
14114.19,metal loss,360.0,0.6,1.1,27.0,3890,,2022,14114.19,14077.393203931691
14114.56,metal loss,360.0,0.7,1.3,26.0,3890,,2022,14114.56,14077.761752879269
14116.047,metal loss,259.5,5.8,3.0,12.0,3890,,2022,14116.047,14079.242921217236
14297.595,metal loss,309.5,11.7,4.3,11.0,3950,,2022,14297.595,14260.30629965105
14298.76,metal loss,315.5,22.8,2.6,11.0,3950,,2022,14298.76,14261.462736654541
14302.713,metal loss,324.0,6.5,1.6,12.0,3950,,2022,14302.713,14265.386681268097
14304.36,metal loss,339.5,3.5,2.3,10.0,3950,,2022,14304.36,14267.021575469598
14304.823,metal loss,312.0,21.8,3.5,11.0,3950,,2022,14304.823,14267.481172321628
14308.524,metal loss,311.0,1.9,1.1,15.0,3950,,2022,14308.524,14271.154969188507
14311.909,metal loss,321.0,27.7,7.2,15.0,3950,,2022,14311.909,14274.51508872225
14315.902,metal loss,338.0,6.5,1.9,10.0,3950,,2022,14315.902,14278.478739327344
14328.566,metal loss,317.0,53.8,5.0,12.0,3950,,2022,14328.566,14291.04965624768
14349.587,metal loss,230.0,2.5,3.7,16.0,3960,,2022,14349.587,14312.032335638842
14381.89,metal loss,197.0,3.4,1.6,11.0,3970,,2022,14381.89,14344.281931620533
14597.743,metal loss,232.5,3.5,0.9,12.0,4020,,2022,14597.743,14559.59227892598
14597.854,metal loss,187.5,2.4,0.8,16.0,4020,,2022,14597.854,14559.703303831866
14670.374,dent,172.5,27.54,8.38,,4040,,2022,14670.374,14631.983205614946
14718.376,metal loss,373.0,5.4,3.8,15.0,4050,,2022,14718.376,14679.779095786964
14778.14,metal loss,311.0,8.7,3.5,10.0,4070,,2022,14778.14,14739.364088778895
14782.904,metal loss,124.0,2.4,0.7,10.0,4080,,2022,14782.904,14744.102340553753
14783.478,metal loss,121.0,2.3,2.8,25.0,4080,,2022,14783.478,14744.671555458835
14783.924,metal loss,202.0,10.4,5.7,21.0,4080,,2022,14783.924,14745.113837423416
14784.888,metal loss,120.5,1.5,1.0,13.0,4080,,2022,14784.888,14746.069801131609
14785.072,metal loss,212.5,7.9,5.2,14.0,4080,,2022,14785.072,14746.252267233587
14785.226,metal loss,123.5,1.0,1.0,14.0,4080,,2022,14785.226,14746.404983427634
14785.584,metal loss,122.0,2.2,2.0,17.0,4080,,2022,14785.584,14746.759998995614
14786.014,metal loss,218.5,3.6,4.2,12.0,4080,,2022,14786.014,14747.186414342628
14786.07,metal loss,122.0,0.7,0.7,18.0,4080,,2022,14786.07,14747.2419475041
14786.49,metal loss,217.5,5.6,3.9,13.0,4080,,2022,14786.49,14747.658446215139
14790.627,metal loss,283.0,5.0,1.5,44.0,4080,,2022,14790.627,14751.760958518866
14791.473,metal loss,285.0,3.4,1.6,23.0,4080,,2022,14791.473,14752.599905922529
14792.293,metal loss,61.49999999999999,18.8,8.5,32.0,4080,,2022,14792.293,14753.413070072651
14793.514,metal loss,291.0,73.1,8.8,18.0,4080,,2022,14793.514,14754.623891325455
14794.098,metal loss,63.5,3.5,1.4,14.0,4080,,2022,14794.098,14755.203022866517
14795.144,metal loss,65.5,1.8,1.1,18.0,4080,,2022,14795.144,14756.240302989721
14795.499,metal loss,65.5,2.5,1.9,14.0,4080,,2022,14795.499,14756.592343566908
14796.775,metal loss,245.0,19.4,3.3,17.0,4080,,2022,14796.775,14757.857706317587
14797.182,metal loss,67.5,1.9,0.9,15.0,4080,,2022,14797.182,14758.261313401856
14801.883,metal loss,284.5,4.7,2.0,12.0,4080,,2022,14801.883,14762.92312397469
14802.585,metal loss,285.0,2.2,1.7,14.0,4080,,2022,14802.585,14763.619271820282
14803.202,metal loss,285.0,1.8,0.9,13.0,4080,,2022,14803.202,14764.23112826007
14803.665,metal loss,285.0,2.3,1.3,12.0,4080,,2022,14803.665,14764.69026850581
14803.714,metal loss,65.0,5.3,1.6,10.0,4080,,2022,14803.714,14764.738860022097
14810.466,metal loss,76.5,3.1,3.7,12.0,4090,,2022,14810.466,14771.455513540292
14810.518,metal loss,270.5,2.1,2.0,12.0,4090,,2022,14810.518,14771.508492404228
14810.568,metal loss,334.0,1.4,1.0,13.0,4090,,2022,14810.568,14771.55943361955
14938.025,metal loss,184.0,1.9,0.9,31.0,4130,,2022,14938.025,14898.737155357438
14938.553,metal loss,33.5,1.7,2.0,20.0,4130,,2022,14938.553,14899.266288591713
14947.283,metal loss,333.5,1.4,1.9,15.0,4140,,2022,14947.283,14908.004167534902
14947.484,metal loss,303.5,1.0,0.7,13.0,4140,,2022,14947.484,14908.20520941863
14947.723,metal loss,270.0,3.5,1.8,12.0,4140,,2022,14947.723,14908.44425922067
14947.89,metal loss,294.0,1.8,1.0,11.0,4140,,2022,14947.89,14908.611294019587
14948.015,metal loss,66.5,0.9,0.3,14.0,4140,,2022,14948.015,14908.73632006668
14948.491,metal loss,49.5,5.7,1.5,16.0,4140,,2022,14948.491,14909.21241925401
14949.508,metal loss,227.5,7.1,2.8,11.0,4140,,2022,14949.508,14910.22963117316
14951.909,metal loss,49.5,3.3,0.7,11.0,4140,,2022,14951.909,14912.631131485725
14954.888,metal loss,259.0,4.4,2.6,13.0,4140,,2022,14954.888,14915.61075224005
14955.991,metal loss,208.5,7.1,3.0,18.0,4140,,2022,14955.991,14916.7139820796
14956.581,metal loss,259.0,1.6,1.7,18.0,4140,,2022,14956.581,14917.30410502188
14957.149,metal loss,48.5,1.9,0.7,12.0,4140,,2022,14957.149,14917.87222337987
14957.359,metal loss,259.0,1.3,1.9,16.0,4140,,2022,14957.359,14918.082267138987
14958.143,metal loss,261.0,2.8,2.6,13.0,4140,,2022,14958.143,14918.866430506356
14958.461,metal loss,270.0,4.8,1.4,16.0,4140,,2022,14958.461,14919.18449677016
14958.629,metal loss,253.0,4.4,3.0,12.0,4140,,2022,14958.629,14919.352531777455
14963.146,metal loss,296.5,0.7,1.0,13.0,4150,,2022,14963.146,14923.65173836328
14966.444,metal loss,310.5,0.9,0.9,16.0,4150,,2022,14966.444,14926.63263401178
14968.455,metal loss,340.0,3.0,3.4,13.0,4150,,2022,14968.455,14928.450275354755
14968.914,metal loss,347.5,0.6,1.0,15.0,4150,,2022,14968.914,14928.865142274908
14972.513,metal loss,382.0,6.0,5.4,20.0,4150,,2022,14972.513,14932.11809662268
14973.848,metal loss,294.5,4.3,3.0,16.0,4150,,2022,14973.848,14933.324735704167
14974.695,metal loss,372.0,29.0,8.0,14.0,4150,,2022,14974.695,14934.090296230026
14974.774,metal loss,296.0,3.1,1.7,12.0,4150,,2022,14974.774,14934.161700340464
14975.968,metal loss,297.5,1.9,0.9,14.0,4150,,2022,14975.968,14935.240896642561
14976.512,metal loss,299.5,1.7,1.3,15.0,4150,,2022,14976.512,14935.732590770149
